player1,player2,kills,deaths
1040,1001,3,0
1040,1052,2,2
1035,1018,6,1
1018,1052,3,9
1111,1052,3,1
1109,1040,3,5
1109,1048,5,1
1052,1109,6,0
1067,1109,7,4
1060,1028,3,1
1067,1028,4,0
1028,1109,1,4
1014,1028,12,0
1067,1053,1,7
1053,1109,6,3
1073,1052,2,1
1067,1073,2,1
1039,1112,3,0
1059,1113,6,1
1073,1112,3,0
1059,1091,2,1
1039,1006,58,24
1014,1034,3,0
1006,1034,3,0
1069,1107,7,0
1045,1114,2,1
1115,1045,3,0
1058,1006,7,1
1074,1006,6,0
1116,1045,4,6
1008,1074,2,5
1006,1067,6,10
1067,1007,2,1
1064,1059,3,0
1008,1006,15,20
1032,1036,3,0
1029,1067,5,2
1065,1004,2,2
1053,1118,3,0
1004,1073,2,2
1073,1036,3,0
1073,1053,1,2
1036,1063,3,0
1044,1008,4,0
1121,1088,1,2
1044,1055,9,1
1112,1003,2,2
1121,1054,4,0
1044,1003,7,4
1042,1108,4,0
1044,1112,3,0
1122,1003,3,1
1055,1003,7,13
1029,1003,4,1
1003,1039,3,8
1006,1124,15,4
1006,1006,3,0
1125,1006,3,0
1003,1073,4,0
1128,1015,4,0
1023,1042,5,2
1052,1028,3,0
1018,1110,7,5
1045,1014,7,1
1035,1101,1,3
1043,1101,5,2
1052,1043,3,1
1130,1014,3,0
1014,1060,21,2
1091,1014,1,4
1091,1055,4,1
1071,1113,5,1
1130,1044,5,0
1059,1055,12,4
1117,1059,2,1
1074,1055,5,1
1074,1060,2,1
1058,1055,19,3
1058,1060,5,0
1065,1055,6,4
1014,1077,7,0
1058,1077,2,2
1043,1091,4,0
1077,1091,2,1
1134,1055,2,1
1043,1055,17,2
1134,1043,3,0
1003,1134,2,1
1003,1077,1,3
1003,1043,2,7
1029,1135,1,2
1002,1039,4,0
1135,1136,1,6
1137,1106,2,2
1008,1067,6,2
1008,1124,10,1
1008,1138,3,0
1014,1006,1,2
1018,1139,3,0
1026,1018,12,0
1033,1121,3,0
1008,1145,5,0
1109,1145,6,0
1039,1109,4,1
1039,1035,3,0
1039,1018,5,1
1035,1042,3,0
1008,1018,8,5
1043,1008,4,1
1008,1146,3,0
1035,1147,3,0
1148,1044,1,4
1147,1044,2,3
1101,1008,3,0
1101,1149,1,4
1135,1101,1,2
1135,1008,2,1
1135,1044,2,2
1038,1109,10,1
1038,1008,3,0
1067,1149,5,5
1058,1109,3,0
1109,1055,7,0
1065,1006,3,1
1064,1055,4,2
1014,1076,2,1
1052,1121,3,0
1077,1084,3,0
1071,1121,3,2
1052,1026,2,1
1152,1055,3,0
1052,1014,2,1
1029,1121,9,0
1040,1121,3,0
1043,1121,3,0
1040,1040,6,0
1065,1059,2,1
1121,1032,2,6
1052,1029,2,1
1109,1155,2,1
1043,1039,3,3
1043,1040,4,0
1039,1156,3,0
1135,1158,3,0
1039,1158,3,2
1158,1079,2,3
1122,1079,8,1
1158,1122,1,2
1039,1029,3,1
1003,1008,3,0
1053,1003,2,1
1136,1003,5,0
1136,1018,9,1
1160,1018,3,0
1072,1003,4,0
1039,1136,1,3
1161,1162,4,0
1161,1163,4,0
1137,1055,6,1
1137,1054,3,0
1019,1166,4,0
1149,1053,3,0
1055,1145,3,0
1037,1055,5,5
1089,1145,4,0
1111,1055,3,0
1111,1100,6,0
1168,1145,3,0
1109,1168,2,1
1169,1154,3,1
1168,1004,1,5
1122,1146,4,0
1004,1035,7,4
1169,1107,3,0
1169,1055,4,0
1135,1055,2,1
1003,1038,3,4
1040,1003,2,1
1048,1003,2,1
1136,1004,2,2
1004,1175,8,1
1004,1176,12,4
1002,1176,4,0
1002,1175,3,0
1052,1002,3,3
1004,1052,17,19
1043,1053,4,0
1043,1089,3,2
1002,1003,4,1
1001,1003,2,2
1004,1001,2,2
1003,1042,2,1
1003,1050,2,4
1035,1029,4,0
1002,1111,5,0
1050,1060,5,3
1050,1179,4,1
1043,1111,6,2
1043,1050,4,0
1078,1111,5,0
