"","player1","player2","kills","deaths","win.rate"
"56",1004,1060,6,4,0.537836125411821
"57",1044,1069,3,1,0.561688714831821
"58",1004,1076,4,2,0.551365965377956
"59",1008,1053,4,7,0.404230324643543
"60",1029,1060,6,0,0.695449089703642
"61",1060,1086,3,2,0.517609582517305
"62",1069,1087,0,7,0.250342156036046
"63",1042,1060,11,5,0.609924589099064
"64",1060,1079,2,2,0.478396034182463
"65",1063,1086,2,4,0.408996006843572
"66",1042,1079,2,4,0.408996006843572
"67",1006,1079,2,7,0.335955297576385
"68",1014,1042,3,1,0.561688714831821
"69",1042,1044,2,3,0.440973718120876
"70",1053,1055,3,1,0.561688714831821
"71",1004,1014,17,8,0.623594474075551
"72",1004,1055,2,3,0.440973718120876
"73",1002,1008,6,2,0.606486437372257
"74",1039,1053,11,8,0.541087343132911
"75",1008,1039,7,17,0.331318042198903
"76",1008,1008,4,0,0.645604033971766
"77",1014,1055,13,5,0.639569165506638
"78",1025,1053,0,6,0.268407992105419
"79",1053,1087,2,6,0.357214643133138
"80",1002,1007,4,0,0.645604033971766
"81",1002,1087,3,1,0.561688714831821
"82",1018,1023,9,7,0.526303411490992
"83",1029,1099,3,3,0.47997319335578
"84",1052,1100,5,4,0.511166902519275
"85",1035,1082,8,0,0.733019503581283
"86",1035,1052,7,12,0.393329493374875
"87",1050,1082,4,2,0.551365965377956
"88",1053,1101,2,3,0.440973718120876
"89",1037,1053,2,2,0.478396034182463
"90",1037,1103,12,0,0.785873370398215
"91",1001,1035,4,1,0.594745455110291
"92",1001,1101,3,2,0.517609582517305
"93",1052,1057,4,0,0.645604033971766
"94",1001,1087,1,4,0.364848450093357
"95",1052,1087,11,3,0.666539895102658
"96",1001,1059,3,5,0.419077658952381
"97",1035,1044,3,2,0.517609582517305
"98",1106,1107,4,0,0.645604033971766
"99",1067,1107,14,1,0.769140077265171
"100",1035,1100,3,2,0.517609582517305
"101",1059,1109,0,4,0.313692288112888
"102",1001,1040,12,19,0.398488092063667
"103",1040,1052,12,7,0.578228628723123
"104",1018,1035,1,6,0.315628202426355
"105",1018,1052,3,11,0.303631750804506
"106",1052,1111,5,13,0.332378382763766
"107",1040,1109,8,3,0.614655957254648
"108",1040,1111,9,7,0.526303411490992
"109",1035,1111,7,10,0.42517441449722
"110",1048,1109,1,5,0.338455483826052
"111",1052,1109,15,16,0.475140280221784
"112",1067,1109,10,10,0.485786009743109
"113",1028,1060,1,4,0.364848450093357
"114",1028,1067,1,5,0.338455483826052
"115",1028,1109,1,4,0.364848450093357
"116",1014,1028,12,0,0.785873370398215
"117",1053,1067,9,1,0.705812959700382
"118",1053,1109,7,3,0.593587047799441
"119",1059,1113,6,1,0.647895433326704
"120",1059,1091,3,2,0.517609582517305
"121",1006,1039,26,65,0.296139136186029
"122",1069,1107,28,0,0.880528063305318
"123",1006,1058,1,7,0.295688805952702
"124",1006,1074,0,6,0.268407992105419
"125",1045,1116,6,4,0.537836125411821
"126",1008,1074,2,5,0.381351990200008
"127",1053,1069,3,1,0.561688714831821
"128",1006,1067,6,10,0.401686895448087
"129",1006,1008,83,53,0.597992492914127
"130",1008,1058,0,4,0.313692288112888
"131",1029,1067,5,2,0.58072378364636
"132",1052,1065,3,4,0.447456554285415
"133",1004,1065,2,2,0.478396034182463
"134",1004,1073,2,2,0.478396034182463
"135",1008,1044,0,4,0.313692288112888
"136",1044,1055,9,1,0.705812959700382
"137",1003,1112,2,2,0.478396034182463
"138",1054,1121,0,4,0.313692288112888
"139",1003,1044,4,7,0.404230324643543
"140",1042,1108,4,0,0.645604033971766
"141",1003,1122,1,3,0.395715728907418
"142",1003,1055,13,7,0.593102127348527
"143",1003,1029,1,4,0.364848450093357
"144",1003,1039,5,9,0.393519120804333
"145",1006,1124,15,4,0.690172817333807
"146",1006,1006,4,0,0.645604033971766
"147",1003,1073,4,0,0.645604033971766
"148",1015,1128,0,4,0.313692288112888
"149",1023,1042,5,2,0.58072378364636
"150",1045,1052,2,2,0.478396034182463
"151",1028,1052,0,5,0.289286872485196
"152",1018,1110,7,5,0.533181842718561
"153",1014,1045,2,9,0.30022834620043
"154",1035,1043,2,2,0.478396034182463
"155",1035,1101,1,3,0.395715728907418
"156",1043,1101,5,2,0.58072378364636
"157",1043,1052,6,7,0.459865653386897
"158",1043,1112,4,0,0.645604033971766
"159",1014,1130,1,4,0.364848450093357
"160",1014,1060,26,5,0.758796691395014
"161",1014,1091,6,1,0.647895433326704
"162",1055,1091,1,4,0.364848450093357
"163",1071,1113,5,1,0.623180079717238
"164",1044,1130,0,5,0.289286872485196
"165",1043,1132,7,0,0.715467261367183
"166",1055,1059,4,12,0.319173179009392
"167",1055,1074,1,5,0.338455483826052
"168",1055,1058,3,19,0.222108897130237
